Date,symbol,adj_close,ret
2023-06-30,MSFT,340.54,0.0369986905813211
2023-07-31,MSFT,335.92,-0.013566688201092414
2023-08-31,MSFT,327.76,-0.02429149797570862
2023-09-29,MSFT,315.75,-0.03664266536490113
2023-10-31,MSFT,338.11,0.07081551860649249
2023-11-30,MSFT,378.91,0.1206707876134987
2023-12-29,MSFT,376.04,-0.00757435802697215
2024-01-31,MSFT,397.58,0.05728114030422282
2024-02-29,MSFT,413.64,0.04039438603551493
2024-03-28,MSFT,420.72,0.017116333043226017
2024-04-30,MSFT,389.33,-0.07461019205172092
2024-05-31,MSFT,415.13,0.06626769064803639
2024-06-28,MSFT,446.95,0.07665068773637174
2024-07-31,MSFT,418.35,-0.06398926054368492
2024-08-30,MSFT,417.14,-0.002892315047209326
2024-09-30,MSFT,430.3,0.03154816128877602
2024-10-31,MSFT,406.35,-0.055658842667906105
2024-11-29,MSFT,423.46,0.042106558385627935
2024-12-31,MSFT,421.5,-0.00462853634345628
2025-01-31,MSFT,415.06,-0.015278766310794722
2025-02-28,MSFT,396.99,-0.04353587433142192
2025-03-31,MSFT,375.39,-0.05440943096803452
2025-04-30,MSFT,395.26,0.052931617784171214
2025-05-30,MSFT,460.36,0.1647017153266206
2025-06-30,MSFT,497.41,0.08048049352680509
2025-07-31,MSFT,533.5,0.07255583924730091
2025-08-29,MSFT,506.69,-0.05025304592314905
2025-09-30,MSFT,517.95,0.02222266079851587
2025-10-31,MSFT,517.81,-0.0002702963606527886
2025-11-28,MSFT,492.01,-0.04982522546880119
2025-12-31,MSFT,483.62,-0.017052498932948468
2015-02-27,SPX,2104.5,0.054892505726845675
2015-03-31,SPX,2067.89,-0.017396056070325572
2015-04-30,SPX,2085.51,0.008520762709815388
2015-05-29,SPX,2107.39,0.010491438545008114
2015-06-30,SPX,2063.11,-0.0210117728564716
2015-07-31,SPX,2103.84,0.01974203993000856
2015-08-31,SPX,1972.18,-0.06258080462392579
2015-09-30,SPX,1920.03,-0.026442819620927094
2015-10-30,SPX,2079.36,0.08298307838940033
2015-11-30,SPX,2080.41,0.0005049630655584725
2015-12-31,SPX,2043.94,-0.017530198374358763
2016-01-29,SPX,1940.24,-0.05073534448173622
2016-02-29,SPX,1932.23,-0.004128355255019978
2016-03-31,SPX,2059.74,0.0659911087189411
2016-04-29,SPX,2065.3,0.00269936982337593
2016-05-31,SPX,2096.96,0.01532949208347456
2016-06-30,SPX,2098.86,0.0009060735540973308
2016-07-29,SPX,2173.6,0.0356098072286859
2016-08-31,SPX,2170.95,-0.0012191755612808164
2016-09-30,SPX,2168.27,-0.0012344825997834263
2016-10-31,SPX,2126.15,-0.01942562503747225
2016-11-30,SPX,2198.81,0.03417444676998316
2016-12-30,SPX,2238.83,0.018200754044233047
2017-01-31,SPX,2278.87,0.017884341374735824
2017-02-28,SPX,2363.64,0.037198260541408734
2017-03-31,SPX,2362.72,-0.00038923017041514463
2017-04-28,SPX,2384.2,0.00909121690255299
2017-05-31,SPX,2411.8,0.011576210049492719
2017-06-30,SPX,2423.41,0.004813831992702466
2017-07-31,SPX,2470.3,0.019348768883515444
2017-08-31,SPX,2471.65,0.0005464923288669432
2017-09-29,SPX,2519.36,0.019302894827342154
2017-10-31,SPX,2575.26,0.022188174774546043
2017-11-30,SPX,2647.58,0.028082601368405458
2017-12-29,SPX,2673.61,0.009831619818853499
2018-01-31,SPX,2823.81,0.056178724645703726
2018-02-28,SPX,2713.83,-0.038947379604151844
2018-03-29,SPX,2640.87,-0.026884513768364315
2018-04-30,SPX,2648.05,0.002718801001185378
2018-05-31,SPX,2705.27,0.02160835331659139
2018-06-29,SPX,2718.37,0.004842400204046138
2018-07-31,SPX,2816.29,0.03602158646541875
2018-08-31,SPX,2901.52,0.030263218631604083
2018-09-28,SPX,2913.98,0.0042943009181395375
2018-10-31,SPX,2711.74,-0.06940335897981464
2018-11-30,SPX,2760.17,0.01785938179914015
2018-12-31,SPX,2506.85,-0.09177695576721734
2019-01-31,SPX,2704.1,0.07868440473103688
2019-02-28,SPX,2784.49,0.02972893014311606
2019-03-29,SPX,2834.4,0.01792428775107835
